time,data
1199621485,83.7
1199631485,83.7
1199641485,83.7
1199651485,83.7
1199661485,83.7
1199671485,83.7
1199681485,83.7
1199691485,83.7
1199701485,83.7
1199711485,83.7
1199721485,83.7
1199731485,83.7
1199741485,83.7
1199751485,83.7
1199761485,83.7
1199771485,83.7
1199781485,83.7
1199791485,83.7
1199801485,83.7
1199811485,83.7
1199821485,83.7
1199831485,83.7
1199841485,83.7
1199851485,83.7
1199861485,83.7
1199871485,83.7
1199881485,83.7
1199891485,83.7
1199901485,83.7
1199911485,83.7
1199921485,83.7
1199931485,83.7
1199941485,83.7
1199951485,83.7
1199961485,83.7
1199971485,83.7
1199981485,83.7
1199991485,83.7
1200001485,83.7
1200011485,83.7
1200021485,83.7
1200031485,83.7
1200041485,83.7
1200051485,83.7
1200061485,83.7
1200071485,83.7
1200081485,83.7
1200091485,83.7
1200101485,83.7
1200111485,83.7
1200121485,83.7
1200131485,83.7
1200141485,83.7
1200151485,83.7
1200161485,83.7
1200171485,83.7
1200181485,83.7
1200191485,83.7
1200201485,83.7
1200211485,83.7
1200221485,83.7
1200231485,83.7
1200241485,83.7
1200251485,83.7
1200261485,83.7
1200271485,83.7
1200281485,83.7
1200291485,83.7
1200301485,83.7
1200311485,83.7
1200321485,83.7
1200331485,83.7
1200341485,83.7
1200351485,83.7
1200361485,83.7
1200371485,83.7
1200381485,83.7
1200391485,83.7
1200401485,83.7
1200411485,83.7
1200421485,83.7
1200431485,83.7
1200441485,83.7
1200451485,86.3
1200461485,86.3
1200471485,86.3
1200481485,86.3
1200491485,86.3
1200501485,86.3
1200511485,86.3
1200521485,86.3
1200531485,86.3
1200541485,86.3
1200551485,86.3
1200561485,86.3
1200571485,86.3
1200581485,86.3
1200591485,86.3
1200601485,86.3
1200611485,86.3
1200621485,86.3
1200631485,86.3
1200641485,86.3
1200651485,86.3
1200661485,86.3
1200671485,86.3
1200681485,86.3
1200691485,86.3
1200701485,86.3
1200711485,86.3
1200721485,86.3
1200731485,86.3
1200741485,86.3
1200751485,86.3
1200761485,86.3
1200771485,86.3
1200781485,86.3
1200791485,86.3
1200801485,86.3
1200811485,86.3
1200821485,86.3
1200831485,86.3
1200841485,86.3
1200851485,86.3
1200861485,86.3
1200871485,86.3
1200881485,86.3
1200891485,86.3
1200901485,86.3
1200911485,86.3
1200921485,86.3
1200931485,86.3
1200941485,86.3
1200951485,86.3
1200961485,86.3
1200971485,86.3
1200981485,86.3
1200991485,86.3
1201001485,86.3
1201011485,86.3
1201021485,86.3
1201031485,86.3
1201041485,86.3
1201051485,86.3
1201061485,86.3
1201071485,86.3
1201081485,86.3
1201091485,86.3
1201101485,86.3
1201111485,86.3
1201121485,86.3
1201131485,86.3
1201141485,86.3
1201151485,86.3
1201161485,86.3
1201171485,86.3
1201181485,86.3
1201191485,86.3
1201201485,86.3
1201211485,86.3
1201221485,86.3
1201231485,86.3
1201241485,86.3
1201251485,86.3
1201261485,86.3
1201271485,86.3
1201281485,86.3
1201291485,86.3
1201301485,86.3
1201311485,86.3
1201321485,86.3
1201331485,86.3
1201341485,86.3
1201351485,86.3
1201361485,86.3
1201371485,86.3
1201381485,86.3
1201391485,86.3
1201401485,86.3
1201411485,86.3
1201421485,86.3
1201431485,86.3
1201441485,86.3
1201451485,92.2
1201461485,92.2
1201471485,92.2
1201481485,92.2
1201491485,92.2
1201501485,92.2
1201511485,92.2
1201521485,92.2
1201531485,92.2
1201541485,92.2
1201551485,92.2
1201561485,92.2
1201571485,92.2
1201581485,92.2
1201591485,92.2
1201601485,92.2
1201611485,92.2
1201621485,92.2
1201631485,92.2
1201641485,92.2
1201651485,92.2
1201661485,92.2
1201671485,92.2
1201681485,92.2
1201691485,92.2
1201701485,92.2
1201711485,92.2
1201721485,92.2
1201731485,92.2
1201741485,92.2
1201751485,92.2
1201761485,92.2
1201771485,92.2
1201781485,92.2
1201791485,92.2
1201801485,92.2
1201811485,92.2
1201821485,92.2
1201831485,92.2
1201841485,92.2
1201851485,92.2
1201861485,92.2
1201871485,92.2
1201881485,92.2
1201891485,92.2
1201901485,92.2
1201911485,92.2
1201921485,92.2
1201931485,92.2
1201941485,92.2
1201951485,92.2
1201961485,92.2
1201971485,92.2
1201981485,92.2
1201991485,92.2
1202001485,92.2
1202011485,92.2
1202021485,92.2
1202031485,92.2
1202041485,92.2
1202051485,92.2
1202061485,92.2
1202071485,92.2
1202081485,92.2
1202091485,92.2
1202101485,92.2
1202111485,92.2
1202121485,92.2
1202131485,92.2
1202141485,92.2
